Lee Siegel (professor and novelist),16
Media (communication),16
Mesolithic,16
Ministry of the Interior (Taiwan),16
New England town,16
Proboscis,16
Royal Society of Edinburgh,16
Russia,16
Social norm,16
Sovereign state,16
Switzerland,16
United States,16
Writing,16
2000 New York Giants season,17
Administrative divisions of Iran,17
Alexey Nagayev,17
Arthropod,17
Asilidae,17
Buckhead,17
"Byron, Maine",17
Civilization,17
Community,17
Digital media,17
Donna Summer,17
Epipaleolithic,17
Federal government of the United States,17
Fellow of the Royal Society of Edinburgh,17
Head of state,17
Huang Chu-wen,17
Jargon,17
Jodie Scholz,17
Landlocked country,17
Language family,17
Linguistics,17
List of sovereign states,17
Literature,17
Neighborhoods in Boston,17
Order (distinction),17
Paul Lob,17
Private equity,17
Procedural law,17
Prose,17
Public policy,17
United Kingdom,17
 (Donna Summer album),18
Alexander Maguire,18
Ancient Greece,18
Buckhead Theatre,18
"Charlestown, Boston",18
Compact disc,18
Czech Republic,18
Dehestan (administrative division),18
Federal Statistical System of the United States,18
Grapheme,18
Hexapoda,18
Ian George Wilson Hill,18
Indo-European languages,18
List of Asilidae species: Y,18
Mali,18
Meaning (linguistics),18
Nation,18
Navigation,18
Order of chivalry,18
Parliamentary procedure,18
Poetry,18
President of Singapore,18
Public administration,18
Regal (cigarette),18
Short story,18
South Africa,18
Stone tool,18
Venture capital,18
1997 Scottish Masters,19
A Winter amid the Ice,19
Album,19
Compass,19
Constitution of the Czech Republic,19
Currie Cup,19
Deliberative assembly,19
Dioncounda Traoré,19
English people,19
Firuzeh Rural District,19
Francis B. Austin House,19
GGV Capital,19
Greek language,19
Insect,19
Letter (alphabet),19
Liezel Huber,19
Local government,19
Order of the Bath,19
Parliament of Singapore,19
Poet,19
Prehistory,19
Renaissance architecture,19
Translation,19
United States Census Bureau,19
1964 Currie Cup,20
2010 French Open – Mixed Doubles,20
Administrative divisions of New York (state),20
Alphabet,20
Ancient Greek,20
Beetle,20
Bernard Mallet,20
Civil township,20
Constituencies of Singapore,20
Dangerous Age,20
Derakht-e Jowz,20
Jacobean architecture,20
Jenny Lee (venture capitalist),20
Place (United States Census Bureau),20
Points of the compass,20
Proto-Indo-Europeans,20
Regions of the Czech Republic,20
Senate,20
Steve Fenton (rugby league),20
Translation studies,20
William Shakespeare,20
Acyphoderes acutipennis,21
Census-designated place,21
Dialect,21
Edmond Malone,21
"Fine, New York",21
Germanic peoples,21
Group Representation Constituency,21
Haremere Hall,21
Literal translation,21
Moravian-Silesian Region,21
"Norma Township, Barnes County, North Dakota",21
North,21
Spelling,21
Upper house,21
Alemannic German,22
American and British English spelling differences,22
Cardinal direction,22
Jalan Besar Group Representation Constituency,22
Karviná District,22
Physics,22
"Southern Gateway, Virginia",22
Swedes,22
United States Senate,22
Anton Gustafsson,23
Classical physics,23
Dimension,23
Downtown Core,23
Fiber,23
Horní Bludovice,23
Low Alemannic German,23
Optics,23
Physical body,23
South,23
United States Senate Committee on Environment and Public Works,23
Work (physics),23
Alsatian dialect,24
Astronomical object,24
Matter,24
National Gallery Singapore,24
Paper,24
Power (physics),24
Projector,24
South Asia,24
Three-dimensional space,24
"United States Senate Environment Subcommittee on Superfund, Waste Management, and Regulatory Oversight",24
3D computer graphics,25
Chemical substance,25
Codex,25
France,25
India,25
Machine,25
Planet,25
Projection screen,25
Book,26
Chemical compound,26
Cinema of India,26
Compounds of carbon,26
Earth,26
Film,26
France at the 2006 Winter Olympics,26
Henri Duparc (composer),26
Iron Man: Armored Adventures,26
Machine (mechanical),26
Northeast India,26
Water,26
Assam,27
Body of water,27
Chemistry,27
Heptylparaben,27
Land,27
Organic matter,27
P. C. Sreeram,27
Self-publishing,27
Silent film,27
Typewriter,27
 (1919 film),28
 (1992 film),28
Continent,28
List of districts of Assam,28
Manuscript,28
S. J. Clarke Publishing Company,28
Sea,28
Soil,28
Solution,28
Stream,28
Coast,29
Europe,29
List of transcontinental countries,29
Morigaon district,29
Philosophy of religion,29
Simpson Creek (Missouri),29
Soil health,29
South America,29
Tescra,29
Bolivia,30
Gouripur Gaon,30
Headland,30
Hungary,30
Joseph Runzo,30
Middle East,30
Soil retrogression and degradation,30
Spain,30
Baranya County,31
Headlands and bays,31
Ichilo River,31
Israel,31
OK Liga,31
2012–13 OK Liga,32
Gyöngyösmellék,32
List of ,32
Thurso Bay,32
Scrabster,33
George Bain (artist),34
Debbie Patton,-3
1501,-2
1946,-2
12th Army (Wehrmacht),-2
1946 in the United Kingdom,-2
Abbess,-2
Algorithm,-2
Alice Baldwin (Abbess),-2
Allies of World War II,-2
Automatic number identification,-2
Babi kecap,-2
Belostomatidae,-2
Binary relation,-2
Building,-2
Calendar,-2
Calendar year,-2
Categorization,-2
Charles J. Walsh,-2
Civil calendar,-2
Common year,-2
Common year starting on Friday,-2
Computer,-2
Computer programming,-2
Computing,-2
Content (media),-2
Coordinate system,-2
Counting,-2
Data,-2
Declaration by United Nations,-2
Digital image processing,-2
Digital radio,-2
Direct tax,-2
Electromagnetic spectrum,-2
Element (mathematics),-2
Etz Chaim Yeshiva,-2
Film Forum,-2
Film genre,-2
Frequency,-2
Geographic coordinate system,-2
Geometry,-2
God,-2
Graph theory,-2
Gregorian calendar,-2
Hierarchy,-2
Horvathinia,-2
Indian classical dance,-2
Indonesia,-2
Indonesian cuisine,-2
Indonesian language,-2
Information,-2
January 1,-2
Judaism,-2
Kathakali,-2
Kavalappara Narayanan Nair,-2
"Laski Wielkie, Kuyavian-Pomeranian Voivodeship",-2
Leap year,-2
"Mata Hari, Agent H21",-2
Mathematics,-2
Monotheism,-2
Movie theater,-2
Narrative,-2
New Year's Day,-2
Non-fiction,-2
Numerical analysis,-2
Numerical methods for ordinary differential equations,-2
NXDN,-2
Pacific War,-2
Path (graph theory),-2
Private university,-2
Project 25,-2
Quantity,-2
Radio spectrum,-2
Santa Clara University,-2
Sequence,-2
Set (mathematics),-2
Single UNIX Specification,-2
Spy film,-2
Structure,-2
Superior (hierarchy),-2
Tax,-2
Tax avoidance,-2
Tax break,-2
Telecommunication circuit,-2
Telephone line,-2
Telephone number,-2
Time,-2
Umbrella term,-2
Unit of time,-2
World War II,-2
Yeshiva,-2
